--------------------------------------------------------------------------------
Marvellous Indosystems Fri Jan 20 23:55:47 2023
--------------------------------------------------------------------------------

{'pid': 14580, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 12.078125}
{'pid': 14604, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.63671875}
{'pid': 14744, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 76.5859375}
{'pid': 14772, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 16.5859375}
{'pid': 14888, 'name': 'Video.UI.exe', 'username': 'MSI\\Onkar Ople', 'vms': 17.46875}
{'pid': 15120, 'name': 'SystemSettings.exe', 'username': 'MSI\\Onkar Ople', 'vms': 39.3359375}
{'pid': 15160, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 19.05859375}
{'pid': 15168, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 77.79296875}
{'pid': 15584, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 4.515625}
{'pid': 15600, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 11.640625}
{'pid': 15640, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 3.21484375}
{'pid': 15800, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.79296875}
{'pid': 15808, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 15.984375}
{'pid': 15952, 'name': 'IAStorIcon.exe', 'username': 'MSI\\Onkar Ople', 'vms': 34.9296875}
{'pid': 16052, 'name': 'dllhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 1.49609375}
{'pid': 16428, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 183.5390625}
{'pid': 16432, 'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.29296875}
{'pid': 16600, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 155.2578125}
{'pid': 17132, 'name': 'cpptools.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.67578125}
{'pid': 17136, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 22.43359375}
{'pid': 17180, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 22.703125}
{'pid': 17328, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 30.24609375}
{'pid': 17596, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 20.2265625}
{'pid': 17792, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 16.12890625}
{'pid': 17804, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 94.2421875}
{'pid': 18776, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 19.953125}
{'pid': 19036, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 3.53125}
{'pid': 19188, 'name': 'LockApp.exe', 'username': 'MSI\\Onkar Ople', 'vms': 13.12890625}
{'pid': 19552, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.94140625}
{'pid': 19696, 'name': 'cmd.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.49609375}
{'pid': 20428, 'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.44140625}
